Gene_name,Ensmbl,Hevin_logFC,Hevin_logCPM,Hevin_F,Hevin_PValue,Hevin_adjP,LPS_logFC,LPS_logCPM,LPS_F,LPS_PValue,LPS_adjP
1-Mar,None,0.026588532,4.116102881,0.003873742,0.951365997,0.982096618,2.211486207,4.116102881,25.88382828,0.000242626,0.002361465
2-Mar,None,0.282810351,4.41853624,6.584198862,0.024228121,0.141771068,-0.168776671,4.41853624,2.306583148,0.153949644,0.307033283
2-Mar,None,0.331264204,4.46857751,7.807386957,0.015811287,0.106786775,-0.187854215,4.46857751,2.470623967,0.141193483,0.288518049
3-Mar,None,2.196715892,2.086368311,82.27002039,8.04E-07,8.81E-05,0.694890889,2.086368311,8.1676122,0.01402693,0.051767916
4-Mar,None,1.704946103,-0.648970377,6.012062938,0.029935947,0.161844768,1.233929106,-0.648970377,3.03453344,0.106282348,0.234967819
5-Mar,None,0.189094407,5.549613341,1.479768856,0.246499741,0.558049624,0.721784086,5.549613341,21.46086453,0.000532765,0.004219579
6-Mar,None,0.020260807,6.976953562,0.092755518,0.765763026,0.908815726,-0.078877281,6.976953562,1.40140075,0.258726261,0.440479869
7-Mar,None,-0.197262702,7.88595688,8.036096846,0.014649475,0.102166911,0.292191751,7.88595688,17.62299027,0.001157489,0.007557574
8-Mar,None,0.031589794,7.180836886,0.154081132,0.701341454,0.88241506,-0.072287277,7.180836886,0.804461288,0.38687587,0.574036941
9-Mar,None,-0.106140635,1.533547267,0.143422889,0.711317923,0.886307784,-0.226398476,1.533547267,0.638269065,0.439400282,0.623896056
1-Sep,None,-0.0696183,-1.02837721,0.011863016,0.915013852,0.968075601,0.192237652,-1.02837721,0.090598855,0.768413789,0.869736507
2-Sep,None,-0.080075757,8.10809225,1.029679245,0.329659931,0.640248801,0.210254151,8.10809225,7.092025156,0.02021331,0.067901784
3-Sep,None,-0.232265306,1.648986207,0.164408038,0.692051474,0.877900176,0.40239878,1.648986207,0.498714592,0.493144867,0.670116608
4-Sep,None,-0.013139467,0.636543224,0.000482834,0.98281939,0.993358826,0.185419198,0.636543224,0.094606486,0.763514888,0.866417199
5-Sep,None,-0.446061744,3.181810494,2.012387618,0.180705835,0.475333492,0.00942157,3.181810494,0.000899191,0.976555923,0.990847695
6-Sep,None,0.064485701,2.963741185,0.215713872,0.650388854,0.859136799,-0.082376291,2.963741185,0.345511943,0.56723473,0.730856741
7-Sep,None,-0.366145469,8.334518667,19.15284925,0.000839432,0.013902259,0.053813716,8.334518667,0.415434852,0.530988229,0.702173503
8-Sep,None,-0.251164222,6.879878339,8.181946943,0.013960973,0.099038976,-0.595833806,6.879878339,45.46641748,1.77E-05,0.00032722
9-Sep,None,0.201014019,6.538297242,1.276704695,0.279934266,0.592938697,0.487268089,6.538297242,7.460723243,0.017785933,0.061724402
10-Sep,None,0.417328828,3.360718352,7.980720203,0.014921294,0.103061119,-0.00563673,3.360718352,0.001430326,0.970434635,0.989141317
11-Sep,None,-0.498314782,9.069333056,40.47007448,3.12E-05,0.001305344,1.39060926,9.069333056,305.878125,4.24E-10,1.28E-07
15-Sep,None,0.092388391,6.752344153,1.193738081,0.295386741,0.609402575,-0.093047682,6.752344153,1.206533874,0.292927654,0.478965047
0610007P14Rik,None,0.130022307,2.473080214,0.253176204,0.623681712,0.846458444,-0.762825055,2.473080214,8.105969075,0.014314769,0.052510359
0610009B22Rik,ENSMUSG00000007777,0.172455581,2.038809666,0.997853622,0.336959603,0.646914389,-0.288357516,2.038809666,2.704196902,0.125226714,0.264451416
0610009L18Rik,ENSMUSG00000043644,-0.459009559,-0.607993624,0.995512366,0.337505796,0.647424985,0.114723483,-0.607993624,0.060707256,0.809420429,0.895926198
0610009O20Rik,None,0.110497288,3.909286142,1.22361713,0.289688741,0.604356382,-0.729910035,3.909286142,51.34046832,9.61E-06,0.000206683
0610010F05Rik,None,-0.037634046,4.930100653,0.156202735,0.699403846,0.881381367,-0.045502846,4.930100653,0.226718947,0.642262187,0.784010617
0610010K14Rik,ENSMUSG00000020831,0.036365241,3.962743181,0.029585822,0.866213754,0.950110447,-0.132459829,3.962743181,0.387072305,0.545133079,0.713931379
0610011F06Rik,None,-0.584744746,0.126118031,1.380018125,0.262203869,0.575444715,-0.804224097,0.126118031,2.514687595,0.13799504,0.283776818
0610012G03Rik,ENSMUSG00000107002,-0.068822031,3.790265626,0.180803684,0.677982634,0.870563046,-0.633519544,3.790265626,14.80154715,0.002198301,0.012433096
0610030E20Rik,ENSMUSG00000058706,-0.10994345,6.433095477,1.58787533,0.230870251,0.540578793,-0.119972935,6.433095477,1.882432791,0.194413403,0.362605197
0610037L13Rik,None,-0.193609783,3.894991045,2.778539687,0.120621069,0.375878785,-0.141973435,3.894991045,1.483141211,0.245991189,0.425271416
0610038B21Rik,ENSMUSG00000097882,-0.795318459,-0.636768238,1.564892361,0.234080215,0.544000182,0.375034652,-0.636768238,0.362432043,0.558026036,0.72449769
0610040J01Rik,ENSMUSG00000060512,0.477417064,2.805818544,4.09436532,0.065170756,0.262433665,-0.678621839,2.805818544,7.828405925,0.015700099,0.056258042
1110001J03Rik,None,-0.398122221,-0.238440435,0.276573148,0.608250233,0.838188651,-0.009913358,-0.238440435,0.000157622,0.990183129,0.99619756
1110002L01Rik,ENSMUSG00000071456,0.079583786,0.732067639,0.074346901,0.789605589,0.917836218,-0.09842743,0.732067639,0.110097479,0.745584399,0.855560046
1110004E09Rik,None,0.111308165,1.249649895,0.152788467,0.70252964,0.883184225,-0.129987805,1.249649895,0.203585007,0.659646129,0.79682216
